avg_sale_price,color,highest_bid,lowest_ask,number_of_sales,price_premium,product_title,release_date,retail_price,style,volatility
583, Frosted Spruce/Frosted Spruce-Frosted Spruce ,801,675,467,67.1,Nike Air Fear Of God 1 Frosted Spruce, 06/01/2019 ,350, AR4237-300 ,17.1
3143, White/Black-Cement Grey ,3500,5800,8,,Nike Dunk SB Low Supreme White Cement (2002), 09/01/2002 ,, 304292-001 ,22.5
1252, Net/Deep Red-Orange Blaze ,1068,1257,10,970,"Nike Air Max 1 NL SP Clot ""Kiss of Death"" (2006)", 05/01/2006 ,100, 313227-161 ,16.5
252, Black/White-Blue Glow Volt ,305,324,23,,Nike Flyknit Trainer Multi-Color,,, 532984-014 ,23.8
6589, White/College Blue-Chrome-Deep Red ,8501,9000,24,6983.3,Nike Dunk SB Low What the Dunk, 10/01/2007 ,120, 318403-141 ,16.5
341, Pale Grey/Sail-Black-Pure Platinum ,405,400,26,110,Nike Air VaporMax Oreo, 04/27/2017 ,190, 899473-002 ,20.6
8238, Red ,8797,9000,42,3100,Nike Air Yeezy 2 Red October, 02/09/2014 ,250, 508214-660 ,51.6
432, Multi-Color/Multi-Color ,455,497,46,95.2,Nike LeBron 15 Lifestyle KITH Stained Glass, 12/30/2017 ,230, AO1068-900 ,19.6
3971, Natural/Sport Red-Maple ,5150,4012,46,1770.5,NikeCraft Mars Yard Shoe 2.0 Tom Sachs Space Camp, 06/08/2017 ,200, AA2261-100 ,20.5
683, Medium Olive/Dust-Black ,650,688,47,200,Nike Air Presto Acronym Olive, 09/15/2016 ,200, 844672-200 ,30.9
409, Black/Bright Crimson-White ,420,339,56,147.5,Nike Air VaporMax Clot Bright Crimson, 07/28/2017 ,200, AA2241-006 ,27.2
770, Reflective Silver/Reflective Silver-Metallic Gl ,800,796,57,486.2,Nike Air Max Lunar90 SP Moon Landing, 07/20/2014 ,145, 700098-007 ,14.7
391, Black/Black-Varsity Red ,400,350,72,100,Nike Air Max 98 Supreme Black, 04/28/2016 ,175, 844694-001 ,20.5
522, Metallic Gold/White ,465,525,135,132.3,"Nike Air More Uptempo Supreme ""Suptempo"" Gold", 04/27/2017 ,190, 902290-700 ,11.2
184, Black/White-Varsity Crimson ,280,160,136,42.9,Nike Air Zoom Generation Black White Retro, 12/23/2017 ,175, AJ4204-001 ,16.6
299, Varsity Red/Metallic Gold-White-Black ,325,220,142,114.1,Nike Air Max 97 Cristiano Ronaldo Portugal Patchwork, 04/24/2018 ,170, AQ0655-600 ,13.2
209, Dark Grey/Pure Platinum-Photo Blue ,190,145,206,87.5,Nike React Element 87 Dark Grey Photo Blue, 08/14/2018 ,160, AQ1090-003 ,11.9
1225, White/Cone-Ice Blue ,1270,980,217,442.1,Nike Air Max 97 Off-White, 11/01/2017 ,190, AJ4585-100 ,19
428, Sail/Light Bone-White-Rush Orange ,435,350,334,138.8,Nike React Element 87 Sail Light Bone, 07/13/2018 ,160, AQ1090-100 ,17.6
262, Bright Crimson/Multi-Color ,330,299,360,170.8,Nike Kyrie 4 Lucky Charms, 08/04/2018 ,120, BV0428-600 ,15.6
189, Kumquat/Starfish-Black-String-Galactic Jade ,250,189,458,85.1,Nike LeBron 16 Low Atmos Safari, 03/02/2019 ,175, CD9471-800/CI3358-800 ,13.1
327, Purple/University Gold-White ,701,318,3852,98.9,Nike Kobe 4 Protro Undefeated Los Angeles Lakers, 08/24/2019 ,180, CQ3869-500 ,15.7
2081, Aqua/Chrome ,4250,3399,89,,"Nike Dunk SB Low Diamond Supply Co. ""Tiffany""", 08/01/2005 ,, 304292-402 ,10.9
, Black/Metallic Silver-Neon Yellow ,1250,6000,,,Nike LeBron 8 112 Pack (Clark Kent), 08/01/2011 ,, h010mnbskt 186-268612 ,
, Midnight Navy/Black-Gum Medium Brown ,,,,,Nike Air Force 1 High Navy Black Gum, 11/23/2013 ,100, 315121-408 ,
, White/Varsity Red-Midnight Navy ,,,,,Nike Air More Uptempo USA Camo (TD),,75,,
, Olive/Brown ,,,,,Nike ACG Moc 3.0 Mt. Fuji,,100,,
, University Red/University Gold-Black ,,,,,Nike LeBron 15 Fairfax PE, 06/01/2018 ,, 897648-819448 ,
, Black/Limelight-Gum Medium Brown-Limelight ,,,,,Nike Metcon 6 Flyease Camo, 08/31/2020 ,,,
, Black/Laser Fuchsia-Electro Green-Smoke Grey ,,,,,Nike Adapt Auto Max Black Laser Fuchsia Electro Green (Australia Charger),,400,,
, Photon Dust/Summit White-Summit White ,,,,,Nike Dunked Photon Dust White,,, CK6654-001 ,
, White/Red-Yellow ,,,,,Nike Air Zoom BB NXT White Red Yellow,,,,
, Black/Black ,,,,,Nike Air Max Goadome Supreme Black,,190,,
, Black/Hyper Punch ,,,,,Nike Zoom Vapor 9.5 Tour Black Hyper Punch, 01/01/2017 ,130, 631458-060 ,
, Multi Color/Red Orbit/Blue Gaze/Orange Pulse ,,,,,Nike KD 12 EYBL Peach Jam (GS), 07/13/2019 ,150,,
